id,age,job,marital,education,balance,housing,contact,day,duration,pdays,poutcome
1,30,unemployed,married,primary,1787,no,cellular,2015/1/23,79,-1,unknown
2,33,services,married,secondary,4789,yes,cellular,2015/1/24,220,339,failure
3,35,management,single,tertiary,1350,yes,cellular,2015/1/25,185,330,failure
4,30,management,married,tertiary,1476,yes,unknown,2015/1/26,199,-1,unknown
5,59,blue-collar,married,secondary,0,yes,unknown,2015/1/27,226,-1,unknown
6,35,management,single,tertiary,747,no,cellular,2015/1/28,141,176,failure
7,36,self-employed,married,tertiary,307,yes,cellular,2015/1/29,341,330,other
8,39,technician,married,secondary,147,yes,cellular,2015/1/30,151,-1,unknown
9,41,entrepreneur,married,tertiary,221,yes,unknown,2015/1/31,57,-1,unknown
10,43,services,married,primary,-88,yes,cellular,2015/2/1,313,147,failure
11,39,services,married,secondary,9374,yes,unknown,2015/2/2,273,-1,unknown
12,43,admin.,married,secondary,264,yes,cellular,2015/2/3,113,-1,unknown
13,36,technician,married,tertiary,1109,no,cellular,2015/2/4,328,-1,unknown
14,20,student,single,secondary,502,no,cellular,2015/2/5,261,-1,unknown
15,31,blue-collar,married,secondary,360,yes,cellular,2015/2/6,89,241,failure
16,40,management,married,tertiary,194,no,cellular,2015/2/7,189,-1,unknown
17,56,technician,married,secondary,4073,no,cellular,2015/2/8,239,-1,unknown
18,37,admin.,single,tertiary,2317,yes,cellular,2015/2/9,114,152,failure
19,25,blue-collar,single,primary,-221,yes,unknown,2015/2/10,250,-1,unknown
20,31,services,married,secondary,132,no,cellular,2015/2/11,148,152,other
21,38,management,divorced,unknown,0,yes,cellular,2015/2/12,96,-1,unknown
22,42,management,divorced,tertiary,16,no,cellular,2015/2/13,140,-1,unknown
23,44,services,single,secondary,106,no,unknown,2015/2/14,109,-1,unknown
24,44,entrepreneur,married,secondary,93,no,cellular,2015/2/15,125,-1,unknown
25,26,housemaid,married,tertiary,543,no,cellular,2015/2/16,169,-1,unknown
26,41,management,married,tertiary,5883,no,cellular,2015/2/17,182,-1,unknown
27,55,blue-collar,married,primary,627,yes,unknown,2015/2/18,247,-1,unknown
28,67,retired,married,unknown,696,no,telephone,2015/2/19,119,105,failure
29,56,self-employed,married,secondary,784,no,cellular,2015/2/20,149,-1,unknown
30,53,admin.,married,secondary,105,no,cellular,2015/2/21,74,-1,unknown
31,68,retired,divorced,secondary,4189,no,telephone,2015/2/22,897,-1,unknown
32,31,technician,married,secondary,171,no,cellular,2015/2/23,81,-1,unknown
33,59,management,married,secondary,42,no,cellular,2015/2/24,40,-1,unknown
34,32,management,single,tertiary,2536,yes,cellular,2015/2/25,958,-1,unknown
35,49,technician,married,tertiary,1235,no,cellular,2015/2/26,354,-1,unknown
36,42,admin.,divorced,secondary,1811,yes,unknown,2015/2/27,150,-1,unknown
37,78,retired,divorced,primary,229,no,telephone,2015/2/28,97,-1,unknown
38,32,blue-collar,married,secondary,2089,yes,cellular,2015/1/23,132,-1,unknown
39,33,management,married,secondary,3935,yes,cellular,2015/1/24,765,342,failure
40,23,services,single,tertiary,363,yes,unknown,2015/1/25,16,-1,unknown
41,38,management,single,tertiary,11971,yes,unknown,2015/1/26,609,101,failure
42,36,management,single,tertiary,553,no,cellular,2015/1/27,106,-1,unknown
43,52,blue-collar,married,secondary,1117,yes,cellular,2015/1/28,365,-1,unknown
44,32,technician,married,tertiary,396,yes,cellular,2015/1/29,205,-1,unknown
45,32,technician,single,tertiary,2204,yes,cellular,2015/1/30,11,-1,unknown
46,34,management,single,tertiary,872,yes,unknown,2015/1/31,105,-1,unknown
47,55,blue-collar,married,primary,145,no,telephone,2015/2/1,59,5,other
48,26,blue-collar,married,primary,0,yes,unknown,2015/2/2,425,-1,unknown
49,32,entrepreneur,single,primary,-849,yes,cellular,2015/2/3,204,-1,unknown
50,61,admin.,married,unknown,4629,yes,cellular,2015/2/4,181,92,success
51,45,blue-collar,divorced,primary,844,no,unknown,2015/2/5,1018,-1,unknown
52,37,technician,single,secondary,228,yes,cellular,2015/2/6,1740,-1,unknown
53,38,technician,single,secondary,50,no,cellular,2015/2/7,98,-1,unknown
54,34,technician,married,tertiary,1539,yes,cellular,2015/2/8,441,56,other
55,53,blue-collar,married,secondary,2231,yes,cellular,2015/2/9,272,-1,unknown
56,48,admin.,married,secondary,3064,yes,telephone,2015/2/10,159,-1,unknown
57,57,management,married,secondary,82,no,telephone,2015/2/11,140,-1,unknown
58,33,self-employed,single,tertiary,2155,no,cellular,2015/2/12,295,-1,unknown
59,36,retired,single,secondary,101,yes,unknown,2015/2/13,314,-1,unknown
60,54,technician,divorced,secondary,784,yes,unknown,2015/2/14,579,-1,unknown
61,41,blue-collar,married,primary,-516,no,telephone,2015/2/15,554,-1,unknown
62,63,retired,married,secondary,415,yes,cellular,2015/1/23,323,-1,unknown
63,48,management,married,tertiary,5887,no,cellular,2015/1/24,227,-1,unknown
64,48,services,married,secondary,1355,no,cellular,2015/1/25,134,-1,unknown
65,56,admin.,married,secondary,16873,no,cellular,2015/1/26,223,-1,unknown
66,51,blue-collar,divorced,secondary,203,yes,cellular,2015/1/27,134,170,failure
67,31,services,married,secondary,338,yes,cellular,2015/1/28,155,-1,unknown
68,29,technician,married,secondary,444,yes,cellular,2015/1/29,130,-1,unknown
69,41,management,married,secondary,0,no,cellular,2015/1/30,630,-1,unknown
70,32,technician,single,tertiary,360,no,cellular,2015/1/31,164,-1,unknown
71,37,management,married,tertiary,0,no,cellular,2015/2/1,268,182,success
72,42,entrepreneur,divorced,tertiary,2,yes,unknown,2015/2/2,380,-1,unknown
73,31,management,single,tertiary,6248,yes,unknown,2015/2/3,154,-1,unknown
